Page,Edits,Editors,Views,Mobile %
Amber Heard,,,4258128,71.99
Audrey Hepburn,,,4255990,72.79
Race 3,,,4252151,81.04
Snoop Dogg,,,4249252,73.85
Theodore Roosevelt,,,4248023,61.78
David Beckham,,,4246595,76.72
Netflix,,,4244502,51.65
The Undertaker,,,4238414,76.85
List of United States cities by population,,,4236550,53.36
Black Panther (comics),,,4231606,69.67
Bill Cosby,,,4227609,69.81
List of states and territories of the United States,,,4222729,58.31
Britney Spears,,,4219339,73.18
Ronda Rousey,,,4217725,72.75
Generation X,,,4215778,65.42
Johnny Cash,,,4215537,71.32
Frank Sinatra,,,4214460,66.44
Switzerland,,,4213487,53.77
Red Sparrow,,,4211980,64.15
Robert De Niro,,,4204270,73.59
Deontay Wilder,,,4197533,68.36
Nick Foles,,,4194316,79.09
Website,,,4192010,87.82
The Good Place,,,4190477,55.78
André the Giant,,,4186115,75.09
Baaghi 2,,,4184718,84.68
Kevin Spacey,,,4183388,66.15
Kobe Bryant,,,4180849,70.53
Indonesia,,,4174524,55.91
Alexandria Ocasio-Cortez,,,4160752,61.85
James Franco,,,4154873,68.03
Neil Armstrong,,,4149828,68.83
Jesus,,,4149655,66.38
Shah Rukh Khan,,,4149309,79.49
A Simple Favor (film),,,4145773,74.67
The Meg,,,4142665,66.01
Tessa Thompson,,,4136140,70.59
New Zealand,,,4133579,54.19
Machine Gun Kelly (rapper),,,4130694,73.61
Sweden,,,4120027,47.44
France national football team,,,4116606,61.1
Kris Jenner,,,4105340,82.55
Liam Neeson,,,4101420,75.7
Savitri (actress),,,4094065,81.15
Mariah Carey,,,4085371,72.97
Amazon (company),,,4079672,54.28
Noah Centineo,,,4079103,81.33
Betty White,,,4075994,81.59
Access token,,,4067779,99.21
IPhone,,,4053122,35.03
