Page,Edits,Editors,Views,Mobile %
"COVID-19 pandemic in India",?,?,5361007,71.05
"Katy Perry",?,?,5358661,75.26
"Japan",?,?,5356416,53.63
"Zendaya",?,?,5343397,76.39
"Outlander (TV series)",?,?,5341950,70.61
"Qasem Soleimani",?,?,5340909,67.3
"Sonic the Hedgehog (film)",?,?,5339870,58.68
"List of American films of 2020",?,?,5326475,44.4
"Kirk Douglas",?,?,5319404,72.3
"Emma Watson",?,?,5317215,74.18
"Lovecraft Country (TV series)",?,?,5306141,70.55
"Taiwan",?,?,5305005,58.34
"List of Money Heist episodes",?,?,5302124,78.05
"Alex Trebek",?,?,5297799,77.09
"Selena",?,?,5289166,81.77
"Mitch McConnell",?,?,5282407,68.52
"Robert Pattinson",?,?,5280366,76.43
"Zoom Video Communications",?,?,5276972,39.86
"Severe acute respiratory syndrome",?,?,5276208,60.16
"Priyanka Chopra",?,?,5269084,82.26
"2020 Formula One World Championship",?,?,5261600,49.13
"HTTP cookie",?,?,5254900,38.32
"Manchester United F.C.",?,?,5241946,69.01
"Miley Cyrus",?,?,5204309,75.32
"Prince Harry, Duke of Sussex",?,?,5194078,77.21
"Tom Hardy",?,?,5193759,78.5
"Gillian Anderson",?,?,5182741,78.99
"Kobe Bryant sexual assault case",?,?,5179049,82.16
"David Bowie",?,?,5175059,67.83
"List of Super Bowl champions",?,?,5170948,75.26
"Jeffrey Dahmer",?,?,5170300,80.02
"Germany",?,?,5165567,54.06
"Donald Trump Jr.",?,?,5163774,78.92
"Ford v Ferrari",?,?,5162323,72.08
"Premier League",?,?,5158604,58.29
"Maya Harris",?,?,5130280,82.03
"Blake Lively",?,?,5129683,80.13
"Adam Sandler",?,?,5120127,77.39
"365 Days (2020 film)",?,?,5117609,78.41
"Adam Driver",?,?,5115412,75.3
"Laptop",?,?,5114193,6.08
"Zac Efron",?,?,5102875,83.02
"Aaron Burr",?,?,5096194,79.7
"Beyoncé",?,?,5090788,73.45
"Minecraft",?,?,5080082,48.93
"Rashida Jones",?,?,5074316,78.31
"Zooey Deschanel",?,?,5070208,81.92
"States and union territories of India",?,?,5065000,84.23
"Joseph Stalin",?,?,5062439,65.59
"Kristen Stewart",?,?,5060645,78.82
"Rishi Kapoor",?,?,5038358,88.1
